0.100 0.09044554 0.00114530 0.07429078 0.00117922
0.200 0.17970264 0.00213565 0.14787379 0.00236309
0.300 0.26663612 0.00303511 0.22012685 0.00337584
0.400 0.35020282 0.00377117 0.29040194 0.00428268
0.500 0.42946682 0.00435147 0.35808322 0.00506154
0.600 0.50367233 0.00475458 0.42268121 0.00573050
0.700 0.57223910 0.00500871 0.48380643 0.00623598
0.800 0.63478524 0.00512242 0.54106944 0.00659028
0.900 0.69114469 0.00508070 0.59430209 0.00678878
1.000 0.74126745 0.00491503 0.64337247 0.00683335
1.100 0.78527147 0.00469828 0.68825984 0.00677191
1.200 0.82346064 0.00439819 0.72897417 0.00660087
1.300 0.85617973 0.00405281 0.76561513 0.00633087
1.400 0.88388268 0.00367115 0.79831905 0.00595868
1.500 0.90705147 0.00326663 0.82734740 0.00552314
1.600 0.92622888 0.00286391 0.85291636 0.00506772
1.700 0.94190726 0.00247603 0.87527814 0.00462177
1.800 0.95459883 0.00210675 0.89471392 0.00420049
1.900 0.96476552 0.00177028 0.91151977 0.00379820
2.000 0.97283187 0.00146796 0.92595845 0.00343032
2.100 0.97917868 0.00120175 0.93828393 0.00308554
2.200 0.98413255 0.00097581 0.94873195 0.00278266
2.300 0.98796507 0.00078788 0.95755667 0.00252770
2.400 0.99091521 0.00063202 0.96497056 0.00229270
2.500 0.99316350 0.00050917 0.97116732 0.00206360
2.600 0.99486725 0.00041375 0.97633303 0.00184534
2.700 0.99615492 0.00033535 0.98061820 0.00164016
2.800 0.99712268 0.00027443 0.98416414 0.00144870
2.900 0.99784851 0.00022510 0.98708892 0.00127843
3.000 0.99839085 0.00018992 0.98949184 0.00112320
