0.200 0.10723449 0.00161673 0.09609967 0.00128123
0.400 0.21235870 0.00302988 0.19069762 0.00239120
0.600 0.31334027 0.00410309 0.28236691 0.00343739
0.800 0.40851218 0.00486830 0.36979027 0.00432204
1.000 0.49652796 0.00531007 0.45194770 0.00498192
1.200 0.57645800 0.00552982 0.52801168 0.00545779
1.400 0.64777839 0.00554463 0.59732398 0.00568551
1.600 0.71030856 0.00543037 0.65959624 0.00574492
1.800 0.76427976 0.00520198 0.71482202 0.00564573
2.000 0.81012895 0.00484805 0.76311569 0.00545450
2.200 0.84849407 0.00443826 0.80491593 0.00524600
2.400 0.88016186 0.00401593 0.84058124 0.00497239
2.600 0.90596518 0.00360015 0.87066878 0.00465989
2.800 0.92671358 0.00320392 0.89578984 0.00433212
3.000 0.94322617 0.00284340 0.91655933 0.00398009
3.200 0.95624502 0.00251149 0.93361340 0.00363984
3.400 0.96641759 0.00222320 0.94748668 0.00326557
3.600 0.97430713 0.00195926 0.95866527 0.00294533
3.800 0.98038292 0.00172594 0.96760729 0.00264791
4.000 0.98503415 0.00151479 0.97467325 0.00237600
4.200 0.98858085 0.00132185 0.98024219 0.00213921
4.400 0.99127943 0.00115055 0.98461276 0.00190260
4.600 0.99332693 0.00100560 0.98802878 0.00168281
4.800 0.99487785 0.00087589 0.99068329 0.00146507
5.000 0.99605731 0.00076179 0.99274117 0.00127383
5.200 0.99695217 0.00066360 0.99434874 0.00111137
5.400 0.99763452 0.00058148 0.99559948 0.00098158
5.600 0.99815881 0.00051154 0.99656897 0.00086978
5.800 0.99855952 0.00045089 0.99731703 0.00076842
6.000 0.99886633 0.00039756 0.99789112 0.00067439
